gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,MonthlyCharges,TotalCharges,avg_monthly_spend,charge_gap,is_high_value,PhoneService,MultipleLines,InternetService,streaming_count,security_count,Contract,PaperlessBilling,PaymentMethod,payment_electronic_check,month_to_month_paperless,no_support_services,is_isolated,fiber_no_security,no_internet_services,segment,segment_label
Female,no,Yes,No,-1.2802480369298874,0-12,-1.1616939352451685,-0.9941940877241977,-1.1578889425733963,0.00046458874911472516,0,No,No phone service,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,0,0,0,1,Low Engagement
Male,no,No,No,0.06430268518835193,12-36,-0.2608779199297493,-0.17373981825040724,-0.30565771102922806,0.5266426501284427,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,One year,No,Mailed check,0,0,0,1,0,0,2,Stable Mid-Value
Male,no,No,No,-1.2395040756535771,0-12,-0.3639232943754246,-0.9596491092068434,-0.35530461389588164,-0.08554528666866022,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,Month-to-month,Yes,Mailed check,0,1,0,1,0,0,2,Stable Mid-Value
Male,no,No,No,0.512486259227765,36+,-0.747850415293989,-0.19524770717404732,-0.7916137874149846,0.5335134462765538,0,No,No phone service,DSL,-0.9062505304364585,1.3486718610379804,One year,No,Bank transfer (automatic),0,0,0,1,0,0,2,Stable Mid-Value
Female,no,No,No,-1.2395040756535771,0-12,0.19617817640187488,-0.94045745447498,0.3652819350715464,-1.9586492402113023,1,Yes,No,Fiber optic,-0.9062505304364585,-0.9838073634625305,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Female,no,No,No,-0.9950403079957154,0-12,1.1584890119510036,-0.6453692184426381,1.2511064340608156,-1.1128854652698517,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Male,no,No,Yes,-0.42462485012737144,12-36,0.8078023344020117,-0.14731268909089865,0.7888241856401756,0.1881224987515293,1,Yes,Yes,Fiber optic,0.2665050326900002,-0.2063142886290269,Month-to-month,Yes,Credit card (automatic),0,1,1,0,1,0,3,At risk High-value
Female,no,No,No,-0.9135523854430948,0-12,-1.1650179795821258,-0.8741690378436584,-1.1466246011182735,-0.16773250095675435,0,No,No phone service,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,No,Mailed check,0,0,0,1,0,0,1,Low Engagement
Female,no,Yes,No,-0.18016108246950976,12-36,1.3296772953043026,0.33651554451135574,1.4573432739377004,-1.523821536710336,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,0,0,1,0,0,Loyal High-Value
Male,no,No,Yes,1.2051336009250397,36+,-0.28747027462540753,0.5314762853391823,-0.28300549630204186,-0.04053653465792542,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,One year,No,Bank transfer (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Male,no,Yes,Yes,-0.791320501614164,12-36,-0.4935610235167579,-0.7481879571842651,-0.6497193303219193,1.8206393881885126,0,Yes,No,DSL,-0.9062505304364585,-0.2063142886290269,Month-to-month,Yes,Mailed check,0,1,0,0,0,0,2,Stable Mid-Value
Male,no,No,No,-0.6690886177852331,12-36,-1.5240147679735105,-0.8631834699626608,-1.4701431137926153,-0.563377927878518,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Two year,No,Credit card (automatic),0,0,0,1,0,1,1,Low Engagement
Male,no,Yes,No,1.0421577558197987,36+,1.181757322309704,1.4990665744239262,1.0982923900556543,0.9179032598720385,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,One year,No,Credit card (automatic),0,0,1,0,1,0,0,Loyal High-Value
Male,no,No,No,0.6754621043330061,36+,1.2931128075977727,1.2145888969272465,1.2583663900256645,0.35152530474003235,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Month-to-month,Yes,Bank transfer (automatic),0,1,1,1,1,0,0,Loyal High-Value
Male,no,No,No,-0.3023929662984406,12-36,1.3529456056630036,0.17768805707524432,1.4127662991498533,-0.741896202634523,1,Yes,No,Fiber optic,1.4392605958164588,1.3486718610379804,Month-to-month,Yes,Electronic check,1,1,0,1,0,0,3,At risk High-value
Female,no,Yes,Yes,1.4903413298592119,36+,1.6105590417771916,2.475877681529266,1.6440319679709485,-0.4477285784842438,1,Yes,Yes,Fiber optic,1.4392605958164588,2.126164935871484,Two year,No,Credit card (automatic),0,0,0,0,0,0,0,Loyal High-Value
Female,no,No,No,0.797693988161937,36+,-1.4675060142452372,-0.5560508161330804,-1.4950864943337954,0.37427673960328756,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,One year,No,Mailed check,0,0,0,1,0,1,1,Low Engagement
Male,no,No,Yes,1.5718292524118322,36+,1.3928341377064908,2.2495926306793175,1.2979148123630952,1.0420051458426005,1,Yes,Yes,Fiber optic,1.4392605958164588,0.5711787862044767,Two year,No,Bank transfer (automatic),0,0,0,0,0,0,0,Loyal High-Value
Female,no,Yes,Yes,-0.9135523854430948,0-12,-0.3190486958265014,-0.7742621363716935,-0.3963863297910362,0.9045239459181664,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,Month-to-month,No,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,no,No,No,-0.46536881140368175,12-36,0.8393807556031058,-0.18547540482207542,0.7921515694160716,0.5128832116084444,1,Yes,No,Fiber optic,0.2665050326900002,0.5711787862044767,Month-to-month,Yes,Electronic check,1,1,1,1,1,0,3,At risk High-value
Male,yes,No,No,-1.2802480369298874,0-12,-0.8359375902233565,-0.9898704505662146,-0.8332108653374978,0.00046458874911472516,0,No,No phone service,DSL,0.2665050326900002,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,1,0,0,3,At risk High-value
Male,no,Yes,No,-0.8320644628904743,0-12,-1.495760391109374,-0.9181333687409043,-1.5884463077514437,1.1265568465336795,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,One year,No,Bank transfer (automatic),0,0,0,0,0,1,1,Low Engagement
Male,no,No,No,-1.2802480369298874,0-12,-1.4841262359300234,-0.9984736061356706,-1.479253978204847,0.00046458874911472516,0,Yes,No,No,-0.9062505304364585,-0.9838073634625305,Month-to-month,No,Mailed check,0,0,0,1,0,1,1,Low Engagement
Female,no,Yes,No,1.0421577558197987,36+,-0.16281861198951006,0.5390426503656527,-0.14466942568205765,-0.20319097833205238,0,Yes,Yes,DSL,-0.9062505304364585,0.5711787862044767,Two year,Yes,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Male,no,Yes,Yes,0.6754621043330061,36+,-0.17279074500038175,0.3030955940300073,-0.13852013135993813,-0.388822738538592,0,Yes,No,DSL,-0.9062505304364585,1.3486718610379804,Month-to-month,No,Credit card (automatic),0,0,0,0,0,0,2,Stable Mid-Value
Female,no,No,No,-0.09867315991688919,12-36,-0.3157246514895444,-0.33208199947490835,-0.45651803491176657,1.6365635522516682,0,Yes,No,DSL,-0.9062505304364585,0.5711787862044767,Month-to-month,Yes,Bank transfer (automatic),0,1,0,1,0,0,2,Stable Mid-Value
Male,no,Yes,Yes,0.5939741817803856,36+,1.1485168789401314,1.0879019163236925,1.200855699299734,-0.6477611389857902,1,Yes,Yes,Fiber optic,1.4392605958164588,-0.2063142886290269,Month-to-month,Yes,Electronic check,1,1,1,0,1,0,0,Loyal High-Value
