iter	Passed	Remaining
0	32	13101
1	76	15147
2	132	17482
3	204	20203
4	279	22078
5	307	20224
6	356	20014
7	398	19514
8	442	19229
9	459	17932
10	499	17673
11	525	16983
12	567	16898
13	583	16099
14	628	16131
15	671	16109
16	705	15895
17	761	16165
18	803	16109
19	844	16042
20	878	15851
21	919	15796
22	959	15731
23	1001	15689
24	1018	15281
25	1049	15103
26	1091	15078
27	1109	14734
28	1159	14835
29	1269	15662
30	1349	16060
31	1438	16537
32	1489	16570
33	1507	16228
34	1554	16206
35	1598	16165
36	1625	15948
37	1669	15905
38	1711	15837
39	1728	15552
40	1769	15495
41	1811	15439
42	1856	15411
43	1882	15229
44	1923	15176
45	1941	14943
46	1984	14905
47	2026	14858
48	2045	14650
49	2082	14576
50	2101	14379
51	2127	14235
52	2170	14211
53	2204	14126
54	2253	14134
55	2298	14117
56	2341	14091
57	2386	14069
58	2428	14036
59	2472	14008
60	2516	13982
61	2559	13955
62	2606	13941
63	2651	13918
64	2693	13879
65	2734	13838
66	2781	13825
67	2809	13715
68	2854	13691
69	2872	13539
70	2888	13385
71	2935	13373
72	3016	13511
73	3057	13468
74	3100	13436
75	3142	13395
76	3184	13356
77	3230	13336
78	3278	13321
79	3322	13288
80	3364	13250
81	3390	13148
82	3436	13125
83	3480	13091
84	3525	13064
85	3568	13030
86	3613	13000
87	3690	13083
88	3732	13042
89	3776	13009
90	3816	12960
91	3858	12918
92	3901	12878
93	3946	12846
94	3985	12794
95	4029	12760
96	4070	12715
97	4112	12672
98	4154	12630
99	4196	12590
100	4241	12556
101	4287	12524
102	4328	12480
103	4366	12428
104	4410	12392
105	4457	12362
106	4505	12337
107	4548	12299
108	4591	12257
109	4631	12210
110	4671	12163
111	4713	12119
112	4754	12076
113	4794	12027
114	4835	11983
115	4877	11940
116	4927	11917
117	4970	11879
118	5015	11843
119	5058	11803
120	5100	11761
121	5142	11717
122	5183	11674
123	5227	11634
124	5269	11592
125	5356	11648
126	5402	11612
127	5446	11573
128	5492	11537
129	5536	11499
130	5580	11458
131	5627	11425
132	5672	11386
133	5713	11342
134	5764	11315
135	5806	11270
136	5845	11221
137	5888	11179
138	5936	11146
139	6012	11166
140	6056	11124
141	6100	11083
142	6139	11034
143	6185	10997
144	6230	10956
145	6273	10913
146	6311	10863
147	6353	10818
148	6398	10779
149	6439	10732
150	6484	10693
151	6528	10650
152	6571	10609
153	6619	10573
154	6663	10532
155	6732	10529
156	6776	10488
157	6823	10450
158	6865	10406
159	6907	10361
160	6953	10322
161	7004	10290
162	7050	10252
163	7092	10206
164	7136	10163
165	7182	10125
166	7232	10091
167	7276	10048
168	7318	10003
169	7360	9958
170	7403	9914
171	7445	9869
172	7485	9822
173	7531	9781
174	7572	9735
175	7613	9689
176	7657	9647
177	7699	9602
178	7740	9557
179	7778	9507
180	7821	9463
181	7864	9419
182	7905	9373
183	7944	9326
184	7982	9277
185	8029	9238
186	8070	9192
187	8110	9145
188	8152	9101
189	8232	9098
190	8284	9064
191	8324	9018
192	8365	8972
193	8410	8931
194	8450	8883
195	8513	8860
196	8551	8811
197	8594	8768
198	8637	8724
199	8676	8676
200	8722	8635
201	8765	8591
202	8810	8550
203	8849	8502
204	8896	8462
205	8943	8422
206	8986	8378
207	9030	8335
208	9074	8292
209	9116	8248
210	9160	8204
211	9205	8163
212	9248	8119
213	9291	8075
214	9334	8031
215	9375	7986
216	9416	7940
217	9458	7896
218	9498	7850
219	9540	7806
220	9585	7763
221	9627	7719
222	9671	7676
223	9712	7631
224	9754	7586
225	9795	7541
226	9836	7496
227	9878	7452
228	9920	7407
229	9960	7362
230	10006	7320
231	10056	7282
232	10100	7239
233	10145	7197
234	10187	7152
235	10236	7113
236	10277	7068
237	10321	7025
238	10381	6993
239	10444	6962
240	10506	6931
241	10558	6893
242	10601	6849
243	10644	6805
244	10687	6761
245	10727	6715
246	10769	6670
247	10811	6626
248	10852	6581
249	10893	6535
250	10939	6493
251	10986	6452
252	11033	6410
253	11074	6365
254	11115	6320
255	11159	6276
256	11204	6234
257	11249	6191
258	11292	6147
259	11334	6103
260	11377	6059
261	11416	6013
262	11456	5967
263	11500	5924
264	11539	5878
265	11583	5835
266	11623	5790
267	11667	5746
268	11712	5703
269	11755	5660
270	11798	5616
271	11840	5572
272	11881	5527
273	11924	5483
274	11965	5438
275	12004	5393
276	12049	5350
277	12091	5306
278	12132	5261
279	12174	5217
280	12223	5176
281	12265	5132
282	12305	5087
283	12347	5043
284	12394	5001
285	12435	4956
286	12477	4912
287	12519	4868
288	12562	4825
289	12605	4781
290	12644	4736
291	12686	4692
292	12729	4648
293	12808	4618
294	12852	4574
295	12895	4530
296	12936	4486
297	12978	4442
298	13019	4398
299	13061	4353
300	13105	4310
301	13147	4266
302	13193	4223
303	13240	4181
304	13281	4136
305	13326	4093
306	13367	4049
307	13409	4005
308	13455	3962
309	13536	3929
310	13587	3888
311	13635	3846
312	13682	3803
313	13726	3759
314	13771	3716
315	13818	3673
316	13859	3628
317	13902	3584
318	13945	3541
319	14007	3501
320	14058	3459
321	14101	3415
322	14144	3371
323	14191	3328
324	14235	3285
325	14280	3241
326	14322	3197
327	14367	3153
328	14417	3111
329	14467	3068
330	14511	3025
331	14554	2981
332	14596	2936
333	14641	2893
334	14683	2849
335	14724	2804
336	14766	2760
337	14807	2716
338	14849	2672
339	14899	2629
340	14953	2587
341	15026	2548
342	15091	2507
343	15138	2464
344	15184	2420
345	15228	2376
346	15273	2332
347	15316	2288
348	15359	2244
349	15401	2200
350	15446	2156
351	15507	2114
352	15554	2070
353	15596	2026
354	15640	1982
355	15684	1938
356	15726	1894
357	15767	1849
358	15811	1805
359	15853	1761
360	15898	1717
361	15939	1673
362	15984	1629
363	16035	1585
364	16085	1542
365	16137	1499
